1,第1期,2000/08,2001/01
2,第2期,2001/02,2001/07
3,第3期,2001/08,2002/01
4,第4期,2002/02,2002/07
5,第5期,2002/08,2003/01
6,第6期,2003/02,2003/07
7,第7期,2003/08,2004/01
8,第8期,2004/02,2004/07
9,第9期,2004/08,2005/01
10,第10期,2005/02,2005/07
11,第11期,2005/08,2006/01
12,第12期,2006/02,2006/07
13,第13期,2006/08,2007/01
14,第14期,2007/02,2007/07
15,第15期,2007/08,2008/01
16,第16期,2008/02,2008/07
17,第17期,2008/08,2009/01
18,第18期,2009/02,2009/07
19,第19期,2009/08,2010/01
20,第20期,2010/02,2010/07
21,第21期,2010/08,2011/01
22,第22期,2011/02,2011/07
23,第23期,2011/08,2012/01
24,第24期,2012/02,2012/07
25,第25期,2012/08,2012/01
26,第26期,2013/02,2013/07
27,第27期,2013/08,2013/01
28,第28期,2013/02,2013/07
29,第29期,2013/08,2014/01
